idx,node_id,parent,cum_cost,cum_time,x,y,psi,vx,vy,r,u_delta,u_sfx
0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.010000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000
1.000000,39.000000,0.000000,0.219787,0.200000,0.056660,0.662860,1.442074,2.963172,-0.113929,-0.640880,-0.085324,-0.000810
2.000000,68.000000,39.000000,0.436264,0.400000,0.070987,1.347043,1.634912,3.359296,0.193106,1.242524,0.145715,0.018904
3.000000,364.000000,68.000000,0.663877,0.600000,-0.007080,1.917253,1.728868,1.697782,0.040260,0.202161,0.048364,-0.099976
4.000000,800.000000,364.000000,0.876033,0.800000,-0.182156,2.370936,1.984918,2.886506,0.279588,1.624096,0.220623,0.060031
5.000000,1505.000000,800.000000,1.096436,1.000000,-0.575345,2.833182,2.381056,2.620227,0.322597,1.743864,0.261108,-0.008195
6.000000,3288.000000,1505.000000,1.319540,1.200000,-1.043370,3.059354,2.758661,2.039573,0.318043,1.502359,0.289266,-0.021714
7.000000,3598.000000,3288.000000,1.538494,1.400000,-1.541819,3.068168,3.184496,2.514137,0.420652,2.182961,0.337861,0.021712
8.000000,3725.000000,3598.000000,1.765836,1.600000,-1.973931,2.903317,3.544038,1.554528,0.273793,1.202408,0.305185,-0.040440
9.000000,4404.000000,3725.000000,1.984485,1.800000,-2.275743,2.618263,3.907610,2.242855,0.410456,1.995651,0.343391,0.029046
10.000000,4423.000000,4404.000000,2.210246,2.000000,-2.467591,2.224031,4.281326,1.641187,0.320146,1.411626,0.335626,-0.022831
11.000000,4610.000000,4423.000000,2.428813,2.200000,-2.515290,1.721351,4.683809,2.979270,0.360516,2.358712,0.309229,0.071848
12.000000,4937.000000,4610.000000,2.647844,2.400000,-2.294731,1.066198,5.232531,3.332911,0.258810,2.629053,0.311048,0.028206
13.000000,5146.000000,4937.000000,2.870105,2.600000,-1.917120,0.469070,5.257202,3.024563,-0.055159,-0.321424,-0.041851,-0.012377
14.000000,5156.000000,5146.000000,3.092823,2.800000,-1.543052,0.004200,5.466102,2.333608,0.207917,1.049547,0.177893,-0.026737
15.000000,5209.000000,5156.000000,3.308716,3.000000,-1.029870,-0.280063,5.889743,3.101061,0.355575,2.345472,0.297099,0.041939
16.000000,5409.000000,5209.000000,3.529759,3.200000,-0.397846,-0.320980,6.366658,2.629469,0.339364,1.963615,0.292469,-0.017944
17.000000,5624.000000,5409.000000,3.751218,3.400000,0.116454,-0.109131,6.752576,2.393786,0.327445,1.651476,0.270609,-0.007763
